S.N,Item Name,Number,Position 
1,Ethanol Transporter,,Third Row
2,Climbing Spike,,Third Row
3,Fluroscent Bulb,,Third Row
4,LIA -2200,,Third Row
5,LI -250A Light Meter,,Third Row
6,Lp 80 Accupar Ceptometer,,Third Row
7,Portable Scale,,Third Row
8,Drill,,Third Row
9,Battery Charger,,Third Row
10,Incubator/Glass Chamber,,Third Row
11,Home Light,,Third Row
12,Fuel Moisture Bottle,,Third Row
13,Sound Box,,Third Row
14,Desktop 3,,Third Row
15,Weight Machine ,4,Third Row
16,Ladder,2,Third Row
17,Hp Lasser Jet P2055dn,,Third Row
18,Non Flammable Gas Cylinder,3,Third Row
19,Telephone,1,Third Row
20,Microscope,5,Second Row
21,Hot Plate Stirrer,,Second Row
22,Grinder,,Second Row
23,Potassium Chloride Bottle,,Second Row
24,Liquid Nitrogen Bottle,4,Second Row
25,White Cap,7,Second Row
26,Petri Dish,,Second Row
27,Measuring Cylinder,,Second Row
28,Pipettes,,Second Row
29,Dissection Tools,,Second Row
30,Tweezers Microcentrifuge Tubes,,Second Row
31,Filter and Boats,,Second Row
32,Force Gauge,,Second Row
33,Hobo,,Second Row
34,Centpetri Glass,,Second Row
35,Packer,13,Third Row
36,Small Box(Hose Clamps),20,Second Row
37,Table Fan,1,Second Row
38,Water Bottle,,Second Row
39,Gas Cylinder,2,Second Row
40,Conical Flask,,Second Row
41,Beaker,,Second Row
42,Stem Hydraulics,,Second Row
43,Measurement ACC,,Second Row
44,Lab Note Book,,Second Row
45,GPS and iButton,,Second Row
46,Soil Moisture and ETC,,Second Row
47,Wire and Flag,,Second Row
48,50 Meter,,Second Row
49,Tapes and Straws,,Second Row
50,Tubing Acc,,Second Row
51,Hydra Acc,,Second Row
52,Gloves Silicon,,Second Row
53,Giant Tools,,Second Row
54,Cutting Tools,,Second Row
55,Scanner,,First Row
56,Hardware,,First Row
57,Hand Tools,,First Row
58,50ML Centrifuge Tubes,,First Row
59,P.Bomb and ACC,,First Row
60,Air ACC,,First Row
61,Pica Blender Mill Equipment,,First Row
62,Spare Parts and Tools,,First Row
63,Laboratory Fume Hood,,First Row
64,Non Flammable Gas(Large Black Cylinder),2,First Row
65,Soil Respiro Meter Part,,First Row
66,Licor A,,First Row
67,Large Centrifuge,,Front
68,Large Refrigerator,3,Front
69,Scientific Instruments Made By Germany,,Front
70,Test Sieves,3,Front
71,Tool Box,,Front
72,Small Cooler,,Front
73,Mettler Instrument Corp,,Front
74,Stem Wire,,Front
75,Camping Gear,,
76,Tents,4,
77,Gast,,
78,Vaccum Pump,,
79,Hydraulic Staff,,Front
80,Box-1,,Front
81,Li-Cor,,Front
82,Licor-A,,Front
83,Licor-S-H,,Front
84,Licor-800,,Front
